Feature,Importance
R03BB06_drug,9.848902e-08
M05BA_drug,9.7926616e-08
4AA2F15_drug,9.78622e-08
90.62.2_exam,9.632399e-08
M05BB03_drug,9.630729e-08
C03DA03_drug,9.568153e-08
C09CA07_drug,9.557883e-08
J01MA02_drug,9.536336e-08
C08CA05_drug,9.5140365e-08
M01AH05_drug,9.513856e-08
90.10.5_exam,9.4945165e-08
J01DD08_drug,9.471444e-08
R03BB05_drug,9.442862e-08
NaN_drug,9.441497e-08
N06AX16_drug,9.398463e-08
90.43.5_exam,9.3416205e-08
89.52_exam,9.23869e-08
R03AK10_drug,9.227086e-08
90.14.2_exam,9.155016e-08
B01AF02_drug,9.092564e-08
C09DA06_drug,9.0514476e-08
N06DX01_drug,9.0140375e-08
L02BG04_drug,8.974308e-08
S01EC04_drug,8.968503e-08
88.76.1_exam,8.857451e-08
A02BA02_drug,8.835808e-08
N06AB06_drug,8.733255e-08
N06DA03_drug,8.727338e-08
90.69.4_exam,8.68217e-08
4AA2F12_drug,8.678795e-08
MW_5401_exam,8.6277545e-08
C09BB04_drug,8.5719066e-08
B03AA07_drug,8.391472e-08
90.14.3_exam,8.3512305e-08
H02AB07_drug,8.255476e-08
L01BA01_drug,8.1585e-08
C01BC03_drug,8.098654e-08
45.13_exam,8.066878e-08
H02AB04_drug,8.063009e-08
J02AC02_drug,8.040372e-08
MW_1946_exam,7.879633e-08
M01AE03_drug,7.700833e-08
90.15.4_exam,7.6986595e-08
A10AE04_drug,7.5399186e-08
C09DA08_drug,7.499756e-08
N02AX02_drug,7.4479324e-08
L02BA01_drug,7.4270076e-08
90.56.3_exam,7.421956e-08
N05AL07_drug,7.421539e-08
S01EC03_drug,7.402724e-08
90.28.1_exam,7.396665e-08
N05AA03_drug,7.384096e-08
G04CA02_drug,7.375628e-08
C09AA15_drug,7.36424e-08
90.30.2_exam,7.245821e-08
90.42.1_exam,7.171031e-08
B03AB_drug,7.094865e-08
R03AK08_drug,7.051643e-08
B05BB01_drug,7.024124e-08
C09DA01_drug,7.019885e-08
